store_id,store_name,operation_date,operation,min_required,max_required,actual_employees
S001,New York Flagship,2025-01-21,Cashier,3,6,4
S001,New York Flagship,2025-01-21,Stocking,4,8,5
S002,Los Angeles West,2025-01-21,Cashier,3,6,4
S002,Los Angeles West,2025-01-21,Stocking,4,8,5
S003,Chicago Central,2025-01-21,Cashier,3,6,4
S003,Chicago Central,2025-01-21,Stocking,4,8,5
S004,Houston Main,2025-01-21,Cashier,3,6,4
S004,Houston Main,2025-01-21,Stocking,4,8,5
S005,Phoenix Downtown,2025-01-21,Cashier,3,6,4
S005,Phoenix Downtown,2025-01-21,Stocking,4,8,5
S006,Philadelphia East,2025-01-21,Cashier,3,6,4
S006,Philadelphia East,2025-01-21,Stocking,4,8,5
S007,San Antonio North,2025-01-21,Cashier,3,6,4
S007,San Antonio North,2025-01-21,Stocking,4,8,5
S008,Dallas Uptown,2025-01-21,Cashier,3,6,4
S008,Dallas Uptown,2025-01-21,Stocking,4,8,5
S009,San Diego Coastal,2025-01-21,Cashier,3,6,4
S009,San Diego Coastal,2025-01-21,Stocking,4,8,5
S010,Austin Central,2025-01-21,Cashier,3,6,4
S010,Austin Central,2025-01-21,Stocking,4,8,5
S001,New York Flagship,2025-01-22,Cashier,3,6,5
S001,New York Flagship,2025-01-22,Stocking,4,8,6
S002,Los Angeles West,2025-01-22,Cashier,3,6,5
S002,Los Angeles West,2025-01-22,Stocking,4,8,6
S003,Chicago Central,2025-01-22,Cashier,3,6,5
S003,Chicago Central,2025-01-22,Stocking,4,8,6
S004,Houston Main,2025-01-22,Cashier,3,6,5
S004,Houston Main,2025-01-22,Stocking,4,8,6
S005,Phoenix Downtown,2025-01-22,Cashier,3,6,5
S005,Phoenix Downtown,2025-01-22,Stocking,4,8,6
S006,Philadelphia East,2025-01-22,Cashier,3,6,5
S006,Philadelphia East,2025-01-22,Stocking,4,8,6
S007,San Antonio North,2025-01-22,Cashier,3,6,5
S007,San Antonio North,2025-01-22,Stocking,4,8,6
S008,Dallas Uptown,2025-01-22,Cashier,3,6,5
S008,Dallas Uptown,2025-01-22,Stocking,4,8,6
S009,San Diego Coastal,2025-01-22,Cashier,3,6,5
S009,San Diego Coastal,2025-01-22,Stocking,4,8,6
S010,Austin Central,2025-01-22,Cashier,3,6,5
S010,Austin Central,2025-01-22,Stocking,4,8,6
S001,New York Flagship,2025-01-23,Cashier,3,6,6
S001,New York Flagship,2025-01-23,Stocking,4,8,7
S002,Los Angeles West,2025-01-23,Cashier,3,6,6
S002,Los Angeles West,2025-01-23,Stocking,4,8,7
S003,Chicago Central,2025-01-23,Cashier,3,6,6
S003,Chicago Central,2025-01-23,Stocking,4,8,7
S004,Houston Main,2025-01-23,Cashier,3,6,6
S004,Houston Main,2025-01-23,Stocking,4,8,7
S005,Phoenix Downtown,2025-01-23,Cashier,3,6,6
S005,Phoenix Downtown,2025-01-23,Stocking,4,8,7
S006,Philadelphia East,2025-01-23,Cashier,3,6,6
S006,Philadelphia East,2025-01-23,Stocking,4,8,7
S007,San Antonio North,2025-01-23,Cashier,3,6,6
S007,San Antonio North,2025-01-23,Stocking,4,8,7
S008,Dallas Uptown,2025-01-23,Cashier,3,6,6
S008,Dallas Uptown,2025-01-23,Stocking,4,8,7
S009,San Diego Coastal,2025-01-23,Cashier,3,6,6
S009,San Diego Coastal,2025-01-23,Stocking,4,8,7
S010,Austin Central,2025-01-23,Cashier,3,6,6
S010,Austin Central,2025-01-23,Stocking,4,8,7
S001,New York Flagship,2025-01-24,Cashier,3,6,3
S001,New York Flagship,2025-01-24,Stocking,4,8,8
S002,Los Angeles West,2025-01-24,Cashier,3,6,3
S002,Los Angeles West,2025-01-24,Stocking,4,8,8
S003,Chicago Central,2025-01-24,Cashier,3,6,3
S003,Chicago Central,2025-01-24,Stocking,4,8,8
S004,Houston Main,2025-01-24,Cashier,3,6,3
S004,Houston Main,2025-01-24,Stocking,4,8,8
S005,Phoenix Downtown,2025-01-24,Cashier,3,6,3
S005,Phoenix Downtown,2025-01-24,Stocking,4,8,8
S006,Philadelphia East,2025-01-24,Cashier,3,6,3
S006,Philadelphia East,2025-01-24,Stocking,4,8,8
S007,San Antonio North,2025-01-24,Cashier,3,6,3
S007,San Antonio North,2025-01-24,Stocking,4,8,8
S008,Dallas Uptown,2025-01-24,Cashier,3,6,3
S008,Dallas Uptown,2025-01-24,Stocking,4,8,8
S009,San Diego Coastal,2025-01-24,Cashier,3,6,3
S009,San Diego Coastal,2025-01-24,Stocking,4,8,8
S010,Austin Central,2025-01-24,Cashier,3,6,3
S010,Austin Central,2025-01-24,Stocking,4,8,8
S001,New York Flagship,2025-01-25,Cashier,3,6,4
S001,New York Flagship,2025-01-25,Stocking,4,8,4
S002,Los Angeles West,2025-01-25,Cashier,3,6,4
S002,Los Angeles West,2025-01-25,Stocking,4,8,4
S003,Chicago Central,2025-01-25,Cashier,3,6,4
S003,Chicago Central,2025-01-25,Stocking,4,8,4
S004,Houston Main,2025-01-25,Cashier,3,6,4
S004,Houston Main,2025-01-25,Stocking,4,8,4
S005,Phoenix Downtown,2025-01-25,Cashier,3,6,4
S005,Phoenix Downtown,2025-01-25,Stocking,4,8,4
S006,Philadelphia East,2025-01-25,Cashier,3,6,4
S006,Philadelphia East,2025-01-25,Stocking,4,8,4
S007,San Antonio North,2025-01-25,Cashier,3,6,4
S007,San Antonio North,2025-01-25,Stocking,4,8,4
S008,Dallas Uptown,2025-01-25,Cashier,3,6,4
S008,Dallas Uptown,2025-01-25,Stocking,4,8,4
S009,San Diego Coastal,2025-01-25,Cashier,3,6,4
S009,San Diego Coastal,2025-01-25,Stocking,4,8,4
S010,Austin Central,2025-01-25,Cashier,3,6,4
S010,Austin Central,2025-01-25,Stocking,4,8,4
S001,New York Flagship,2025-01-26,Cashier,3,6,5
S001,New York Flagship,2025-01-26,Stocking,4,8,5
S002,Los Angeles West,2025-01-26,Cashier,3,6,5
S002,Los Angeles West,2025-01-26,Stocking,4,8,5
S003,Chicago Central,2025-01-26,Cashier,3,6,5
S003,Chicago Central,2025-01-26,Stocking,4,8,5
S004,Houston Main,2025-01-26,Cashier,3,6,5
S004,Houston Main,2025-01-26,Stocking,4,8,5
S005,Phoenix Downtown,2025-01-26,Cashier,3,6,5
S005,Phoenix Downtown,2025-01-26,Stocking,4,8,5
S006,Philadelphia East,2025-01-26,Cashier,3,6,5
S006,Philadelphia East,2025-01-26,Stocking,4,8,5
S007,San Antonio North,2025-01-26,Cashier,3,6,5
S007,San Antonio North,2025-01-26,Stocking,4,8,5
S008,Dallas Uptown,2025-01-26,Cashier,3,6,5
S008,Dallas Uptown,2025-01-26,Stocking,4,8,5
S009,San Diego Coastal,2025-01-26,Cashier,3,6,5
S009,San Diego Coastal,2025-01-26,Stocking,4,8,5
S010,Austin Central,2025-01-26,Cashier,3,6,5
S010,Austin Central,2025-01-26,Stocking,4,8,5
S001,New York Flagship,2025-01-27,Cashier,3,6,6
S001,New York Flagship,2025-01-27,Stocking,4,8,6
S002,Los Angeles West,2025-01-27,Cashier,3,6,6
S002,Los Angeles West,2025-01-27,Stocking,4,8,6
S003,Chicago Central,2025-01-27,Cashier,3,6,6
S003,Chicago Central,2025-01-27,Stocking,4,8,6
S004,Houston Main,2025-01-27,Cashier,3,6,6
S004,Houston Main,2025-01-27,Stocking,4,8,6
S005,Phoenix Downtown,2025-01-27,Cashier,3,6,6
S005,Phoenix Downtown,2025-01-27,Stocking,4,8,6
S006,Philadelphia East,2025-01-27,Cashier,3,6,6
S006,Philadelphia East,2025-01-27,Stocking,4,8,6
S007,San Antonio North,2025-01-27,Cashier,3,6,6
S007,San Antonio North,2025-01-27,Stocking,4,8,6
S008,Dallas Uptown,2025-01-27,Cashier,3,6,6
S008,Dallas Uptown,2025-01-27,Stocking,4,8,6
S009,San Diego Coastal,2025-01-27,Cashier,3,6,6
S009,San Diego Coastal,2025-01-27,Stocking,4,8,6
S010,Austin Central,2025-01-27,Cashier,3,6,6
S010,Austin Central,2025-01-27,Stocking,4,8,6
S001,New York Flagship,2025-01-28,Cashier,3,6,3
S001,New York Flagship,2025-01-28,Stocking,4,8,7
S002,Los Angeles West,2025-01-28,Cashier,3,6,3
S002,Los Angeles West,2025-01-28,Stocking,4,8,7
S003,Chicago Central,2025-01-28,Cashier,3,6,3
S003,Chicago Central,2025-01-28,Stocking,4,8,7
S004,Houston Main,2025-01-28,Cashier,3,6,3
S004,Houston Main,2025-01-28,Stocking,4,8,7
S005,Phoenix Downtown,2025-01-28,Cashier,3,6,3
S005,Phoenix Downtown,2025-01-28,Stocking,4,8,7
S006,Philadelphia East,2025-01-28,Cashier,3,6,3
S006,Philadelphia East,2025-01-28,Stocking,4,8,7
S007,San Antonio North,2025-01-28,Cashier,3,6,3
S007,San Antonio North,2025-01-28,Stocking,4,8,7
S008,Dallas Uptown,2025-01-28,Cashier,3,6,3
S008,Dallas Uptown,2025-01-28,Stocking,4,8,7
S009,San Diego Coastal,2025-01-28,Cashier,3,6,3
S009,San Diego Coastal,2025-01-28,Stocking,4,8,7
S010,Austin Central,2025-01-28,Cashier,3,6,3
S010,Austin Central,2025-01-28,Stocking,4,8,7
S001,New York Flagship,2025-01-29,Cashier,3,6,4
S001,New York Flagship,2025-01-29,Stocking,4,8,8
S002,Los Angeles West,2025-01-29,Cashier,3,6,4
S002,Los Angeles West,2025-01-29,Stocking,4,8,8
S003,Chicago Central,2025-01-29,Cashier,3,6,4
S003,Chicago Central,2025-01-29,Stocking,4,8,8
S004,Houston Main,2025-01-29,Cashier,3,6,4
S004,Houston Main,2025-01-29,Stocking,4,8,8
S005,Phoenix Downtown,2025-01-29,Cashier,3,6,4
S005,Phoenix Downtown,2025-01-29,Stocking,4,8,8
S006,Philadelphia East,2025-01-29,Cashier,3,6,4
S006,Philadelphia East,2025-01-29,Stocking,4,8,8
S007,San Antonio North,2025-01-29,Cashier,3,6,4
S007,San Antonio North,2025-01-29,Stocking,4,8,8
S008,Dallas Uptown,2025-01-29,Cashier,3,6,4
S008,Dallas Uptown,2025-01-29,Stocking,4,8,8
S009,San Diego Coastal,2025-01-29,Cashier,3,6,4
S009,San Diego Coastal,2025-01-29,Stocking,4,8,8
S010,Austin Central,2025-01-29,Cashier,3,6,4
S010,Austin Central,2025-01-29,Stocking,4,8,8
S001,New York Flagship,2025-01-30,Cashier,3,6,5
S001,New York Flagship,2025-01-30,Stocking,4,8,4
S002,Los Angeles West,2025-01-30,Cashier,3,6,5
S002,Los Angeles West,2025-01-30,Stocking,4,8,4
S003,Chicago Central,2025-01-30,Cashier,3,6,5
S003,Chicago Central,2025-01-30,Stocking,4,8,4
S004,Houston Main,2025-01-30,Cashier,3,6,5
S004,Houston Main,2025-01-30,Stocking,4,8,4
S005,Phoenix Downtown,2025-01-30,Cashier,3,6,5
S005,Phoenix Downtown,2025-01-30,Stocking,4,8,4
S006,Philadelphia East,2025-01-30,Cashier,3,6,5
S006,Philadelphia East,2025-01-30,Stocking,4,8,4
S007,San Antonio North,2025-01-30,Cashier,3,6,5
S007,San Antonio North,2025-01-30,Stocking,4,8,4
S008,Dallas Uptown,2025-01-30,Cashier,3,6,5
S008,Dallas Uptown,2025-01-30,Stocking,4,8,4
S009,San Diego Coastal,2025-01-30,Cashier,3,6,5
S009,San Diego Coastal,2025-01-30,Stocking,4,8,4
S010,Austin Central,2025-01-30,Cashier,3,6,5
S010,Austin Central,2025-01-30,Stocking,4,8,4